id,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm
113,-24.889,-5.2682,14.9747,-21.4989,-2.0784,17.0711,379.08,5.105
114,-24.889,-5.2682,14.9747,-25.0406,-5.1672,13.9633,379.08,1.028
115,4.2585,21.0752,2.7452,8.6805,24.3007,3.4718,272.68,5.521
116,4.2585,21.0752,2.7452,3.8459,2.0009,23.9597,280.81,28.532
117,3.8459,2.0009,23.9597,4.7526,2.8792,19.6848,252.89,4.457
118,-34.9644,-9.7226,-2.4959,-39.4627,-15.018,-3.353,202.93,7.001
119,-34.9644,-9.7226,-2.4959,-36.471,-3.7136,-12.0145,201.97,11.357
120,-34.9644,-9.7226,-2.4959,-35.584,-10.4369,-3.9855,225.74,1.764
121,-34.9644,-9.7226,-2.4959,-33.4841,-10.2708,-0.6564,225.74,2.424
122,-34.9644,-9.7226,-2.4959,-33.6498,-5.5051,-4.0053,225.74,4.668
123,-36.471,-3.7136,-12.0145,-35.0055,-7.9159,-13.4187,178.21,4.667
124,-36.471,-3.7136,-12.0145,-37.8981,-4.8151,-11.6419,178.21,1.841
125,11.8007,6.0632,-18.9493,13.5132,1.9748,-18.8467,349.69,4.434
126,11.8007,6.0632,-18.9493,11.8007,6.0632,-18.9493,349.34,0.0
127,-13.0305,-16.5971,11.0748,-11.2659,-12.6215,15.1219,450.65,5.941
128,-13.0305,-16.5971,11.0748,13.4215,-7.701,5.2373,446.15,28.512
129,-13.0305,-16.5971,11.0748,-12.8638,-14.4342,13.7422,500.0,3.438
130,13.4215,-7.701,5.2373,15.2984,-9.3712,2.5612,392.3,3.671
131,19.3044,13.6501,-9.0881,17.4201,14.4414,-12.0687,363.06,3.614
132,19.3044,13.6501,-9.0881,2.7105,24.4588,-1.7637,391.04,21.115
133,19.3044,13.6501,-9.0881,20.6972,10.875,-9.6855,421.72,3.162
134,2.7105,24.4588,-1.7637,4.0071,25.1435,-0.4261,360.36,1.985
135,-25.5872,4.7475,-18.8939,-28.7589,6.7836,-19.074,285.48,3.773
136,-25.5872,4.7475,-18.8939,-25.5872,4.7475,-18.8939,266.86,0.0
137,13.6363,-18.1596,5.4387,14.6915,-17.975,8.7831,235.54,3.512
138,13.6363,-18.1596,5.4387,21.6796,-21.5172,12.6101,241.32,11.287
139,4.7526,2.8792,19.6848,5.253,3.3638,17.3261,223.97,2.459
140,4.7526,2.8792,19.6848,4.7526,2.8792,19.6848,229.49,0.0
141,-35.0055,-7.9159,-13.4187,-33.5038,-12.2218,-14.8575,155.01,4.782
142,-35.0055,-7.9159,-13.4187,-34.67,6.8907,-12.6555,164.07,14.83
143,-34.67,6.8907,-12.6555,-30.7712,9.669,-12.3276,149.92,4.799
144,-34.67,6.8907,-12.6555,-35.0515,5.9773,-8.7874,149.92,3.993
