ix,iy,iz,x_cm,y_cm,z_cm,prioridad
25,31,29,0.1271186440677966,0.15762711864406778,0.14871794871794872,CRITICA
25,32,28,0.1271186440677966,0.16271186440677965,0.14358974358974358,CRITICA
26,8,13,0.13220338983050847,0.04067796610169491,0.06666666666666667,CRITICA
26,10,19,0.13220338983050847,0.05084745762711864,0.09743589743589744,CRITICA
26,10,21,0.13220338983050847,0.05084745762711864,0.1076923076923077,CRITICA
26,11,20,0.13220338983050847,0.0559322033898305,0.10256410256410256,CRITICA
26,11,22,0.13220338983050847,0.0559322033898305,0.11282051282051282,CRITICA
26,11,24,0.13220338983050847,0.0559322033898305,0.12307692307692308,CRITICA
26,12,19,0.13220338983050847,0.06101694915254237,0.09743589743589744,CRITICA
26,12,21,0.13220338983050847,0.06101694915254237,0.1076923076923077,CRITICA
26,13,27,0.13220338983050847,0.06610169491525424,0.13846153846153847,CRITICA
26,14,26,0.13220338983050847,0.07118644067796609,0.13333333333333333,CRITICA
26,15,27,0.13220338983050847,0.07627118644067796,0.13846153846153847,CRITICA
26,16,26,0.13220338983050847,0.08135593220338982,0.13333333333333333,CRITICA
26,17,27,0.13220338983050847,0.08644067796610169,0.13846153846153847,CRITICA
26,18,0,0.13220338983050847,0.09152542372881356,0.0,CRITICA
26,18,1,0.13220338983050847,0.09152542372881356,0.005128205128205128,CRITICA
26,18,26,0.13220338983050847,0.09152542372881356,0.13333333333333333,CRITICA
26,19,2,0.13220338983050847,0.09661016949152541,0.010256410256410256,CRITICA
26,20,0,0.13220338983050847,0.10169491525423728,0.0,CRITICA
26,20,1,0.13220338983050847,0.10169491525423728,0.005128205128205128,CRITICA
26,20,3,0.13220338983050847,0.10169491525423728,0.015384615384615385,CRITICA
26,20,26,0.13220338983050847,0.10169491525423728,0.13333333333333333,CRITICA
26,23,18,0.13220338983050847,0.11694915254237287,0.09230769230769231,CRITICA
26,24,17,0.13220338983050847,0.12203389830508474,0.08717948717948718,CRITICA
26,25,16,0.13220338983050847,0.1271186440677966,0.08205128205128205,CRITICA
26,25,18,0.13220338983050847,0.1271186440677966,0.09230769230769231,CRITICA
26,26,17,0.13220338983050847,0.13220338983050847,0.08717948717948718,CRITICA
26,27,10,0.13220338983050847,0.13728813559322034,0.05128205128205128,CRITICA
26,28,11,0.13220338983050847,0.14237288135593218,0.05641025641025641,CRITICA
26,29,28,0.13220338983050847,0.14745762711864405,0.14358974358974358,CRITICA
26,31,28,0.13220338983050847,0.15762711864406778,0.14358974358974358,CRITICA
26,32,29,0.13220338983050847,0.16271186440677965,0.14871794871794872,CRITICA
26,33,30,0.13220338983050847,0.16779661016949152,0.15384615384615385,CRITICA
27,12,20,0.13728813559322034,0.06101694915254237,0.10256410256410256,CRITICA
27,16,27,0.13728813559322034,0.08135593220338982,0.13846153846153847,CRITICA
27,17,26,0.13728813559322034,0.08644067796610169,0.13333333333333333,CRITICA
27,18,2,0.13728813559322034,0.09152542372881356,0.010256410256410256,CRITICA
27,19,0,0.13728813559322034,0.09661016949152541,0.0,CRITICA
27,19,1,0.13728813559322034,0.09661016949152541,0.005128205128205128,CRITICA
27,19,3,0.13728813559322034,0.09661016949152541,0.015384615384615385,CRITICA
27,19,26,0.13728813559322034,0.09661016949152541,0.13333333333333333,CRITICA
27,28,10,0.13728813559322034,0.14237288135593218,0.05128205128205128,CRITICA
