id,x1,y1,z1,x2,y2,z2,radio_um,longitud_mm,reynolds
91,49.91644941788312,43.83226955389366,49.90301061581714,50.0,-50.0,50.0,102.27,93.832,3.28
92,49.91644941788312,43.83226955389366,49.90301061581714,50.0,-50.0,-14.141251902344061,107.37,113.605,3.13
93,49.96566961020688,49.960147694002494,49.960147694002494,50.0,50.0,50.0,82.44,0.066,2442.75
94,49.96566961020688,49.960147694002494,49.960147694002494,35.64437587301097,50.0,50.0,92.82,14.321,16.07
95,49.23407289618342,49.11087635482648,49.11087635482648,50.0,50.0,50.0,147.03,1.472,621.08
96,49.23407289618342,49.11087635482648,49.11087635482648,50.0,50.0,50.0,158.82,1.472,782.84
97,49.98892281376465,-49.98714108933506,-49.98714108933506,50.0,-50.0,-50.0,62.79,0.021,3344.48
98,49.98892281376465,-49.98714108933506,-49.98714108933506,50.0,-50.0,-50.0,56.27,0.021,2407.35
99,49.82199591177668,15.835568469490122,-49.79336461265274,-7.855550279453547,50.0,-33.27107851637484,93.17,69.043,3.37
100,49.82199591177668,15.835568469490122,-49.79336461265274,50.0,50.0,-50.0,98.36,34.166,8.01
101,38.40672367014312,-19.259015230291777,49.86199426079667,50.0,-50.0,50.0,136.71,32.855,22.37
102,38.40672367014312,-19.259015230291777,49.86199426079667,-15.086518031004408,-50.0,31.52771372136601,112.43,64.364,6.35
103,-43.01340790406423,-8.563304859307161,5.951587794459759,-50.0,-41.22282855518806,-50.0,90.72,65.162,3.3
104,-43.01340790406423,-8.563304859307161,5.951587794459759,-45.161428008668885,-50.0,-2.550560218308868,70.99,42.354,2.43
105,47.5013733269105,-43.374586931494356,49.97025648218831,50.0,-50.0,50.0,105.1,7.081,47.18
106,47.5013733269105,-43.374586931494356,49.97025648218831,50.0,-50.0,-12.366814289944864,111.71,62.738,6.39
107,47.786253613124515,-47.43018069581226,-45.27685509566009,50.0,-50.0,-45.00069209973777,160.28,3.403,348.11
108,47.786253613124515,-47.43018069581226,-45.27685509566009,50.0,-50.0,-50.0,200.6,5.815,399.41
109,49.57664599538735,49.5085510698024,49.5085510698024,50.0,50.0,50.0,118.25,0.814,584.57
110,49.57664599538735,49.5085510698024,49.5085510698024,31.568169996255182,50.0,50.0,133.0,18.022,37.56
111,49.99413990060757,-49.99319732529779,-49.99319732529779,50.0,-50.0,-50.0,41.9,0.011,1878.53
112,49.99413990060757,-49.99319732529779,-49.99319732529779,50.0,-50.0,-49.08925532505093,47.12,0.904,33.3
113,43.784690203654606,-49.95788536313567,-49.95788536313567,-34.28797838439131,-50.0,-50.0,99.07,78.073,3.58
114,43.784690203654606,-49.95788536313567,-49.95788536313567,-38.923000601781304,-1.509031354693477,9.966934246489984,85.28,113.044,1.58
115,49.816959631251784,49.787518265035445,49.787518265035445,50.0,50.0,50.0,102.74,0.352,886.87
116,49.816959631251784,49.787518265035445,49.787518265035445,50.0,50.0,50.0,127.93,0.352,1712.01
117,49.97593682762532,49.97206635536254,49.97206635536254,50.0,50.0,50.0,65.43,0.046,1742.34
118,49.97593682762532,49.97206635536254,49.97206635536254,50.0,50.0,50.0,86.19,0.046,3982.73
119,35.657556882850066,-49.4802954602447,-49.910625401597684,-37.79754057144458,-32.70200335002896,-12.560240857947907,66.18,84.096,0.99
