id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm,presion_entrada,presion_salida,es_terminal
854,art,5,26.459,-10.3342,14.5832,26.1315,-9.195,12.1079,190.49,2.7445,87.63,86.61,1
855,art,5,26.459,-10.3342,14.5832,25.698,-10.2788,12.8201,202.13,1.9211,87.63,86.95,1
856,art,9,26.5139,-16.4795,6.426,24.564,-18.3933,6.0179,75.61,2.7625,45.48,43.0,1
857,art,9,26.5139,-16.4795,6.426,25.1385,-17.3447,5.3776,73.42,1.9337,45.48,43.61,1
858,art,10,21.9118,-0.2275,-0.6375,22.2712,2.3324,-2.7202,54.33,3.3196,37.53,43.0,1
859,art,10,21.9118,-0.2275,-0.6375,20.937,1.1611,-2.2254,50.84,2.3237,37.53,43.0,1
860,art,10,21.9118,-0.2275,-0.6375,24.4218,-1.0762,1.2822,54.4,3.2719,37.53,43.0,1
861,art,10,21.9118,-0.2275,-0.6375,22.7185,0.1048,1.4802,50.76,2.2904,37.53,43.0,1
862,art,8,-1.9108,7.875,-20.7345,-3.4223,6.0199,-19.216,93.01,2.8341,65.59,63.43,1
863,art,8,-1.9108,7.875,-20.7345,-1.6408,6.7787,-19.1032,93.83,1.9839,65.59,64.09,1
864,art,8,-1.9108,7.875,-20.7345,-3.2162,9.9145,-19.4234,94.76,2.7536,65.59,63.53,1
865,art,8,-1.9108,7.875,-20.7345,-1.6314,9.4086,-19.6008,92.0,1.9275,65.59,64.1,1
866,art,7,19.7191,-10.3992,14.7086,19.7444,-13.3802,13.8361,129.29,3.1061,85.14,83.44,1
867,art,7,19.7191,-10.3992,14.7086,19.9455,-12.4233,15.4698,121.88,2.1743,85.14,83.88,1
868,art,9,-19.1306,1.0082,15.5241,-20.1005,-0.9201,17.1528,69.02,2.704,48.25,45.48,1
869,art,9,-19.1306,1.0082,15.5241,-20.5656,1.0647,16.7572,75.08,1.8928,48.25,46.47,1
870,art,9,-17.6014,11.8476,0.699,-18.4104,11.1961,-1.8764,79.02,2.777,55.9,53.41,1
871,art,9,-17.6014,11.8476,0.699,-17.3606,11.9796,-1.2254,77.08,1.9439,55.9,54.12,1
