id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
698,ven,7,19.0837,19.1331,12.8684,13.9947,15.5044,11.2806,141.23
699,ven,7,19.0837,19.1331,12.8684,15.8145,21.06,11.6356,141.7
700,ven,7,-42.9145,-12.4592,2.5993,-39.686,-14.7917,0.6486,113.42
701,ven,7,-42.9145,-12.4592,2.5993,-41.0713,-11.3268,7.5792,113.76
702,ven,7,-34.9153,-8.205,14.0156,-34.1585,-2.3584,17.119,117.24
703,ven,7,-34.9153,-8.205,14.0156,-32.2704,-10.5867,14.4779,106.12
704,ven,7,-12.3285,0.2888,4.3901,-11.1243,-4.0288,8.3265,132.13
705,ven,7,-12.3285,0.2888,4.3901,-14.7046,-1.6687,-1.0784,125.25
706,ven,7,-7.7433,-16.497,4.4223,-11.1513,-12.9633,1.2262,112.04
707,ven,7,-7.7433,-16.497,4.4223,-3.4041,-17.9992,4.8125,122.64
708,ven,7,-9.3295,-19.4219,14.6672,-5.2338,-19.0538,16.5436,120.12
709,ven,7,-9.3295,-19.4219,14.6672,-15.0649,-18.9851,13.4663,111.06
710,ven,7,-8.8223,-17.0964,5.5949,-5.1458,-14.8006,3.5701,88.28
711,ven,7,-8.8223,-17.0964,5.5949,-11.1722,-15.3871,2.8433,93.35
712,ven,7,-16.3279,-24.2578,3.9724,-14.6386,-22.4882,5.8271,85.7
713,ven,7,-16.3279,-24.2578,3.9724,-16.8252,-24.5538,4.2311,90.26
714,ven,7,-8.6031,-24.5002,7.9323,-4.9777,-25.5786,6.098,103.94
715,ven,7,-8.6031,-24.5002,7.9323,-12.4712,-24.6863,6.2981,95.92
716,ven,7,-13.773,-19.9596,13.387,-9.047,-20.8072,11.5091,111.67
717,ven,7,-13.773,-19.9596,13.387,-11.7091,-22.3597,8.9674,118.63
718,ven,7,-12.802,-15.364,3.7844,-9.2952,-18.7803,6.3306,133.1
719,ven,7,-12.802,-15.364,3.7844,-14.5235,-17.729,9.1157,121.28
720,ven,7,-30.4603,0.152,13.8279,-29.9523,3.9463,13.9667,97.65
721,ven,7,-30.4603,0.152,13.8279,-33.1295,-1.8215,10.9616,107.04
722,ven,7,-26.2643,-6.5739,17.9591,-24.154,-6.329,15.0329,77.6
